"","x","y","state","color"
"1",-7.02576732635498,-11.445948600769,"scData_initial",66
"2",-4.07281351089478,-6.23952341079712,"scData_initial",52
"3",-9.09346199035645,5.9936056137085,"scData_initial",35
"4",9.27800559997559,4.37260150909424,"scData_initial",9
"5",4.88277721405029,9.39170455932617,"scData_initial",68
"6",-9.98110198974609,0.587402939796448,"scData_initial",32
"7",4.17480802536011,9.03400611877441,"scData_initial",56
"8",-4.32228708267212,-6.28960084915161,"scData_initial",33
"9",-10.5501155853271,5.77873420715332,"scData_initial",61
"10",-9.17527294158936,5.22402667999268,"scData_initial",53
"11",-9.59567260742188,2.30080127716064,"scData_initial",31
"12",8.37355518341064,-2.37705016136169,"scData_initial",73
"13",-6.13582515716553,-5.33581876754761,"scData_initial",66
"14",-10.8667497634888,5.23552656173706,"scData_initial",62
"15",8.94168281555176,-1.66181206703186,"scData_initial",39
"16",1.45042860507965,-7.5729513168335,"scData_initial",23
"17",-6.53641223907471,1.42200303077698,"scData_initial",74
"18",-6.41141176223755,-15.1080160140991,"scData_initial",91
"19",4.33345413208008,8.8417797088623,"scData_initial",71
"20",6.02739143371582,8.91880035400391,"scData_initial",86
"21",6.12196826934814,8.75672340393066,"scData_initial",20
"22",-4.81134080886841,3.00171375274658,"scData_initial",43
"23",9.35626888275146,5.86699771881104,"scData_initial",29
"24",-6.93479204177856,-11.2217512130737,"scData_initial",94
"25",-0.569035947322845,-6.83030843734741,"scData_initial",69
"26",-1.74849617481232,-9.31410694122314,"scData_initial",75
"27",-10.2233648300171,0.921373546123505,"scData_initial",42
"28",-9.33062171936035,2.30614423751831,"scData_initial",3
"29",8.79703235626221,5.60747766494751,"scData_initial",41
"30",-6.17179536819458,-12.1531562805176,"scData_initial",62
"31",6.90199661254883,-3.84174180030823,"scData_initial",1
"32",-4.798743724823,-3.29747629165649,"scData_initial",11
"33",9.66787147521973,-1.00586485862732,"scData_initial",49
"34",-4.33832454681396,-6.36861133575439,"scData_initial",50
"35",-6.9771556854248,-11.7956027984619,"scData_initial",34
"36",-11.2149267196655,-1.05941867828369,"scData_initial",84
"37",-3.55542755126953,3.30221962928772,"scData_initial",47
"38",7.39447116851807,-4.64927530288696,"scData_initial",97
"39",-10.1051578521729,7.03730201721191,"scData_initial",96
"40",7.99827861785889,5.02245473861694,"scData_initial",60
"41",9.32976627349854,-1.92046070098877,"scData_initial",22
"42",-10.2179040908813,-2.42311215400696,"scData_initial",1
"43",8.64248657226562,7.39896059036255,"scData_initial",14
"44",-9.55960083007812,0.998735070228577,"scData_initial",5
"45",7.81438970565796,5.33246850967407,"scData_initial",30
"46",-5.84816741943359,-15.516339302063,"scData_initial",2
"47",7.31370544433594,-4.83272552490234,"scData_initial",44
"48",-3.80848383903503,-3.76857018470764,"scData_initial",80
"49",-5.88310432434082,-11.5327386856079,"scData_initial",14
"50",-8.39851093292236,6.83059692382812,"scData_initial",98
"51",-5.03319454193115,-3.0554883480072,"scData_initial",64
"52",-3.09917950630188,-10.0531044006348,"scData_initial",15
"53",-5.0924015045166,4.07515954971313,"scData_initial",40
"54",-5.58846855163574,2.53578758239746,"scData_initial",66
"55",5.97514963150024,-5.06042051315308,"scData_initial",100
"56",-8.10835933685303,2.69404339790344,"scData_initial",38
"57",-2.99104905128479,3.83783078193665,"scData_initial",33
"58",4.34351825714111,-5.99890279769897,"scData_initial",93
"59",-7.73116827011108,3.84993410110474,"scData_initial",69
"60",-10.5134925842285,8.03708934783936,"scData_initial",29
"61",-6.05178308486938,2.20608925819397,"scData_initial",68
"62",7.49984264373779,7.84517192840576,"scData_initial",96
"63",-5.66042757034302,7.26466703414917,"scData_initial",14
"64",-9.26642513275146,5.55392694473267,"scData_initial",9
"65",-1.21738195419312,-8.71285629272461,"scData_initial",50
"66",-4.29122591018677,4.49236440658569,"scData_initial",93
"67",6.35283994674683,3.877032995224,"scData_initial",49
"68",-3.90336298942566,3.43797278404236,"scData_initial",15
"69",-9.43729877471924,7.65856075286865,"scData_initial",79
"70",-10.0260486602783,6.71477890014648,"scData_initial",38
"71",-6.28237581253052,6.59406328201294,"scData_initial",94
"72",-10.6924819946289,7.83892917633057,"scData_initial",84
"73",10.7228879928589,2.70440769195557,"scData_initial",3
"74",-3.66711950302124,-3.42469239234924,"scData_initial",95
"75",-7.42372846603394,7.02578163146973,"scData_initial",9
"76",9.55859470367432,2.5916383266449,"scData_initial",32
"77",6.06755685806274,5.14376974105835,"scData_initial",28
"78",-10.0538511276245,2.12463593482971,"scData_initial",48
"79",-0.828357517719269,-7.47258043289185,"scData_initial",49
"80",-10.9265661239624,7.60278224945068,"scData_initial",52
"81",6.26749277114868,5.95229911804199,"scData_initial",100
"82",-8.74159812927246,5.68671369552612,"scData_initial",45
"83",4.49437665939331,-5.99689292907715,"scData_initial",35
"84",8.07487106323242,3.8596727848053,"scData_initial",99
"85",-1.35780501365662,-8.109299659729,"scData_initial",100
"86",4.22601795196533,9.3421688079834,"scData_initial",78
"87",-8.60451412200928,7.27584648132324,"scData_initial",24
"88",8.44226932525635,3.37851786613464,"scData_initial",88
"89",-5.88477754592896,4.67485094070435,"scData_initial",76
"90",7.55318069458008,2.57151889801025,"scData_initial",23
"91",-5.57819414138794,-16.3550262451172,"scData_initial",8
"92",10.1876983642578,4.68417739868164,"scData_initial",7
"93",8.64705848693848,1.30528652667999,"scData_initial",18
"94",-8.54771518707275,1.47994756698608,"scData_initial",54
"95",7.16473054885864,4.13054847717285,"scData_initial",38
"96",-9.25504970550537,-1.96793472766876,"scData_initial",87
