"","UMAP_1","UMAP_2","V1","V2","V1_scaled","V2_scaled"
"1",-7.02576732635498,-11.445948600769,204,463,16.713646815995,21.8982370668113
"2",-4.07281351089478,-6.23952341079712,205,468,16.7365561764119,21.95709951229
"3",-9.09346199035645,5.9936056137085,205,470,16.7365561764119,21.9806444904816
"4",9.27800559997559,4.37260150909424,206,461,16.7594655368288,21.8746920886198
"5",4.88277721405029,9.39170455932617,207,465,16.7823748972456,21.9217820450028
"6",-9.98110198974609,0.587402939796448,208,464,16.8052842576625,21.910009555907
"7",4.17480802536011,9.03400611877441,208,470,16.8052842576625,21.9806444904816
"8",-4.32228708267212,-6.28960084915161,208,476,16.8052842576625,22.0512794250561
"9",-10.5501155853271,5.77873420715332,208,480,16.8052842576625,22.0983693814391
"10",-9.17527294158936,5.22402667999268,209,467,16.8281936180794,21.9453270231943
"11",-9.59567260742188,2.30080127716064,210,457,16.8511029784962,21.8276021322368
"12",8.37355518341064,-2.37705016136169,210,459,16.8511029784962,21.8511471104283
"13",-6.13582515716553,-5.33581876754761,210,477,16.8511029784962,22.0630519141518
"14",-10.8667497634888,5.23552656173706,211,453,16.8740123389131,21.7805121758538
"15",8.94168281555176,-1.66181206703186,211,455,16.8740123389131,21.8040571540453
"16",1.45042860507965,-7.5729513168335,211,459,16.8740123389131,21.8511471104283
"17",-6.53641223907471,1.42200303077698,211,467,16.8740123389131,21.9453270231943
"18",-6.41141176223755,-15.1080160140991,211,469,16.8740123389131,21.9688720013858
"19",4.33345413208008,8.8417797088623,211,470,16.8740123389131,21.9806444904816
"20",6.02739143371582,8.91880035400391,211,476,16.8740123389131,22.0512794250561
"21",6.12196826934814,8.75672340393066,211,484,16.8740123389131,22.1454593378221
"22",-4.81134080886841,3.00171375274658,212,458,16.89692169933,21.8393746213325
"23",9.35626888275146,5.86699771881104,212,461,16.89692169933,21.8746920886198
"24",-6.93479204177856,-11.2217512130737,212,463,16.89692169933,21.8982370668113
"25",-0.569035947322845,-6.83030843734741,212,464,16.89692169933,21.910009555907
"26",-1.74849617481232,-9.31410694122314,212,466,16.89692169933,21.9335545340985
"27",-10.2233648300171,0.921373546123505,212,472,16.89692169933,22.0041894686731
"28",-9.33062171936035,2.30614423751831,212,476,16.89692169933,22.0512794250561
"29",8.79703235626221,5.60747766494751,212,479,16.89692169933,22.0865968923433
"30",-6.17179536819458,-12.1531562805176,212,483,16.89692169933,22.1336868487263
"31",6.90199661254883,-3.84174180030823,213,456,16.9198310597468,21.815829643141
"32",-4.798743724823,-3.29747629165649,213,461,16.9198310597468,21.8746920886198
"33",9.66787147521973,-1.00586485862732,213,472,16.9198310597468,22.0041894686731
"34",-4.33832454681396,-6.36861133575439,213,483,16.9198310597468,22.1336868487263
"35",-6.9771556854248,-11.7956027984619,214,456,16.9427404201637,21.815829643141
"36",-11.2149267196655,-1.05941867828369,214,470,16.9427404201637,21.9806444904816
"37",-3.55542755126953,3.30221962928772,214,472,16.9427404201637,22.0041894686731
"38",7.39447116851807,-4.64927530288696,214,476,16.9427404201637,22.0512794250561
"39",-10.1051578521729,7.03730201721191,214,623,16.9427404201637,23.7818353221315
"40",7.99827861785889,5.02245473861694,214,625,16.9427404201637,23.805380300323
"41",9.32976627349854,-1.92046070098877,215,450,16.9656497805806,21.7451947085665
"42",-10.2179040908813,-2.42311215400696,215,468,16.9656497805806,21.95709951229
"43",8.64248657226562,7.39896059036255,215,472,16.9656497805806,22.0041894686731
"44",-9.55960083007812,0.998735070228577,215,476,16.9656497805806,22.0512794250561
"45",7.81438970565796,5.33246850967407,215,482,16.9656497805806,22.1219143596306
"46",-5.84816741943359,-15.516339302063,215,623,16.9656497805806,23.7818353221315
"47",7.31370544433594,-4.83272552490234,215,625,16.9656497805806,23.805380300323
"48",-3.80848383903503,-3.76857018470764,216,457,16.9885591409974,21.8276021322368
"49",-5.88310432434082,-11.5327386856079,216,466,16.9885591409974,21.9335545340985
